ST_CASE,WEATHERNAME
40901,Reported as Unknown
40902,Clear
40903,Clear
40904,Reported as Unknown
40905,Cloudy
40906,Clear
40907,Rain
40908,Clear
40909,Clear
40910,Clear
40911,Clear
40912,Clear
40913,Clear
40914,Clear
40915,Clear
40916,Clear
40917,Clear
40918,Clear
40919,Rain
40920,Clear
40921,Clear
40922,Clear
40923,Clear
40924,Clear
40925,Reported as Unknown
40926,Clear
40927,Clear
40928,Clear
40929,Clear
50001,Clear
50002,Cloudy
50003,Cloudy
50004,Clear
50005,Clear
50006,Clear
50007,Clear
50008,Rain
50009,Cloudy
50010,Clear
50011,Clear
50012,Cloudy
50013,Clear
50014,Clear
50015,Clear
50016,Rain
50017,Cloudy
50018,Clear
50019,Other
50020,Clear
50021,Clear
50022,"Fog, Smog, Smoke"
50023,Clear
50024,Rain
50025,Clear
50026,Cloudy
50027,Clear
