ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10531,0,0,0,0,0,6,0,0,0,0
10532,0,0,0,0,0,0,0,0,0,0
10533,0,0,0,0,0,0,0,0,0,0
10534,0,0,0,0,0,0,0,0,0,0
10535,14,14,14,14,20,14,14,14,14,14
10536,0,0,0,0,0,0,0,0,0,0
10537,0,0,0,0,0,0,0,0,0,0
10538,0,0,0,0,0,0,0,0,0,0
10539,0,0,26,0,11,0,33,0,15,0
10540,0,0,0,0,0,0,0,0,0,0
10541,26,0,0,0,0,0,0,0,0,0
10542,0,0,16,0,0,0,0,31,0,0
10543,0,0,0,0,0,0,0,0,0,0
10544,0,0,0,0,0,0,0,0,0,0
10545,23,23,23,23,23,23,23,23,23,23
10546,0,0,0,0,0,0,24,0,0,0
10547,0,0,0,0,0,0,0,0,0,0
10548,0,0,0,0,0,0,0,0,0,0
10549,17,0,0,0,0,20,0,17,9,12
10550,0,19,13,0,0,0,0,8,0,0
10551,0,0,0,0,17,0,13,0,0,23
10552,0,0,0,0,0,0,0,0,0,0
10553,0,27,0,0,0,0,0,0,0,0
10554,0,0,0,0,0,0,0,0,0,0
10555,0,0,0,0,0,0,0,0,0,0
10556,0,0,0,27,21,21,0,0,0,22
10557,0,0,0,0,0,0,0,0,0,0
10558,17,21,17,12,20,9,12,21,16,22
10559,0,13,0,0,0,29,38,0,24,16
10560,12,12,12,12,12,12,12,12,12,12
10561,0,0,0,0,0,0,0,0,0,0
10562,0,0,0,0,0,17,0,0,0,0
10563,0,0,0,0,0,0,0,0,0,0
10564,0,0,0,0,0,0,0,0,0,0
10565,0,0,0,0,0,0,0,0,0,0
10566,0,0,0,0,0,0,0,0,0,0
10567,0,0,7,0,40,0,0,0,0,0
10568,0,11,0,19,0,0,11,0,0,0
10569,0,0,0,0,0,0,0,0,0,0
10570,18,18,18,18,18,18,18,18,18,18
10571,26,26,26,26,26,26,26,26,26,26
10572,0,0,0,0,0,0,0,0,0,0
10573,7,7,7,7,7,7,7,7,7,7
10574,0,0,0,0,0,0,0,0,0,0
10575,0,0,0,0,0,0,0,0,0,0
10576,0,0,0,0,0,0,0,0,0,0
10577,0,0,0,0,0,0,0,0,0,0
10578,0,0,0,0,0,0,0,0,0,0
10579,0,0,0,0,0,0,4,0,0,0
10580,0,0,0,0,0,0,0,0,0,0
10581,7,0,0,0,0,0,0,0,0,0
10582,0,0,0,0,0,0,0,0,0,0
10583,0,0,0,0,0,0,0,0,0,0
10584,0,0,0,0,0,0,0,0,0,0
10585,0,0,0,0,15,0,0,0,0,0
10586,0,0,0,0,0,0,0,0,0,0
10587,0,0,0,0,0,0,0,0,0,0
10588,18,18,18,18,18,18,18,18,18,18
10589,0,0,0,0,0,0,0,0,0,5
10590,0,0,0,0,0,0,0,0,0,0
10591,0,0,0,0,0,0,0,0,0,0
10592,0,0,0,0,0,0,0,0,0,0
10593,39,0,0,0,0,8,0,10,0,0
10594,14,0,0,24,8,0,7,0,20,17
10595,0,0,0,0,0,0,0,0,0,0
10596,0,0,0,0,39,0,0,16,0,0
10597,27,17,22,14,38,10,18,26,9,18
10598,0,0,0,0,0,0,0,0,0,0
10599,0,0,0,0,0,0,0,0,0,0
10600,0,17,0,0,0,0,0,0,0,0
10601,13,13,13,13,13,13,13,13,13,13
10602,16,16,16,16,16,16,16,16,16,16
10603,15,0,17,17,9,21,17,16,3,20
10604,0,8,0,11,21,13,4,19,19,27
10605,0,0,9,0,0,0,0,0,9,0
10606,0,0,0,0,0,0,0,0,0,0
