ST_CASE,WEATHERNAME,YEAR
40166,Clear,2019
40167,Rain,2019
40168,Not Reported,2019
40169,Rain,2019
40170,Clear,2019
40171,Clear,2019
40172,Cloudy,2019
40173,Rain,2019
40174,Rain,2019
40175,Not Reported,2019
40176,Clear,2019
40177,Clear,2019
40178,Clear,2019
40179,Clear,2019
40180,Not Reported,2019
40181,Not Reported,2019
40182,Clear,2019
40183,Rain,2019
40184,Rain,2019
40185,Snow,2019
40186,Rain,2019
40187,Clear,2019
40188,Clear,2019
40189,Clear,2019
40190,Clear,2019
40191,Clear,2019
40192,Clear,2019
40193,Clear,2019
40194,Clear,2019
40195,Clear,2019
40196,Clear,2019
40197,Clear,2019
40198,Clear,2019
40199,Clear,2019
40200,Not Reported,2019
40201,Clear,2019
40202,Clear,2019
40203,Reported as Unknown,2019
40204,Reported as Unknown,2019
40205,Clear,2019
40206,Reported as Unknown,2019
40207,Clear,2019
40208,Not Reported,2019
40209,Clear,2019
40210,Clear,2019
40211,Not Reported,2019
40212,Clear,2019
40213,Clear,2019
40214,Clear,2019
40215,Clear,2019
40216,Clear,2019
40217,Not Reported,2019
40218,Clear,2019
40219,Clear,2019
40220,Clear,2019
40221,Clear,2019
40223,Not Reported,2019
40224,Clear,2019
40225,Not Reported,2019
40227,Clear,2019
40228,Clear,2019
40229,Clear,2019
40230,Clear,2019
40231,Clear,2019
40232,Clear,2019
40233,Clear,2019
40234,Clear,2019
40235,Cloudy,2019
40236,Clear,2019
40237,Clear,2019
40238,Clear,2019
40239,Clear,2019
40240,Clear,2019
40241,Clear,2019
40242,Clear,2019
40243,Clear,2019
40244,Clear,2019
40245,Clear,2019
40246,Clear,2019
40247,Clear,2019
40248,Clear,2019
40249,Clear,2019
40250,Clear,2019
40251,Clear,2019
40252,Clear,2019
40253,Clear,2019
40254,Clear,2019
40255,Clear,2019
40256,Clear,2019
40257,Clear,2019
40258,Clear,2019
40259,Clear,2019
40260,Rain,2019
40261,Clear,2019
40262,Clear,2019
40263,Clear,2019
40264,Clear,2019
40265,Clear,2019
40267,Clear,2019
40268,Clear,2019
40269,Clear,2019
40270,Clear,2019
40271,Clear,2019
40272,Clear,2019
40273,Cloudy,2019
40274,Clear,2019
40275,Clear,2019
40276,Clear,2019
40277,Clear,2019
40278,Clear,2019
40279,Clear,2019
40280,Clear,2019
40281,Clear,2019
40282,Clear,2019
40283,Clear,2019
40284,Clear,2019
40285,Clear,2019
40286,Clear,2019
40287,Clear,2019
40288,Clear,2019
40289,Clear,2019
40290,Reported as Unknown,2019
40291,Clear,2019
40292,Clear,2019
40293,Clear,2019
40294,Clear,2019
40295,Clear,2019
40296,Clear,2019
40297,Clear,2019
40298,Clear,2019
40299,Clear,2019
40300,Not Reported,2019
40301,Clear,2019
40302,Clear,2019
40303,Clear,2019
40304,Clear,2019
40305,Clear,2019
40306,Clear,2019
40307,Clear,2019
40308,Rain,2019
40311,Clear,2019
40312,Clear,2019
40313,Clear,2019
40314,Clear,2019
40315,Clear,2019
40316,Clear,2019
40317,Clear,2019
40318,Clear,2019
40319,Cloudy,2019
40320,Reported as Unknown,2019
40321,Clear,2019
40322,Clear,2019
40324,Clear,2019
40325,Cloudy,2019
40326,Clear,2019
40327,Clear,2019
40328,Clear,2019
40329,Rain,2019
40330,Clear,2019
40332,Clear,2019
40333,Clear,2019
40334,Cloudy,2019
40335,Clear,2019
40336,Clear,2019
40337,Cloudy,2019
40338,Cloudy,2019
40339,Clear,2019
40340,Clear,2019
40341,Cloudy,2019
40342,Clear,2019
40343,Clear,2019
40344,Clear,2019
40345,Clear,2019
40346,Clear,2019
40347,Cloudy,2019
40348,Clear,2019
40349,Clear,2019
40350,Clear,2019
40351,Clear,2019
40352,Clear,2019
40353,Clear,2019
40354,Clear,2019
40355,Clear,2019
40356,Clear,2019
40357,Clear,2019
40358,Clear,2019
40359,Clear,2019
40360,Clear,2019
40361,Clear,2019
40362,Clear,2019
40363,Clear,2019
40364,Clear,2019
40365,Clear,2019
40366,Clear,2019
40367,Clear,2019
40368,Clear,2019
40369,Clear,2019
40370,Clear,2019
40371,Clear,2019
40372,Clear,2019
40373,Clear,2019
40374,Clear,2019
40375,Clear,2019
40376,Clear,2019
40377,Clear,2019
40378,Clear,2019
40379,Clear,2019
40380,Clear,2019
40381,Clear,2019
40382,Clear,2019
40383,Clear,2019
40384,Clear,2019
40385,Cloudy,2019
40386,Clear,2019
40387,Clear,2019
40388,Clear,2019
40389,Reported as Unknown,2019
40390,Reported as Unknown,2019
40391,Clear,2019
40392,Clear,2019
40393,Cloudy,2019
40394,Clear,2019
40395,Cloudy,2019
40396,Clear,2019
40397,Reported as Unknown,2019
40398,Clear,2019
40399,Reported as Unknown,2019
40400,Reported as Unknown,2019
40401,Reported as Unknown,2019
40402,Clear,2019
40403,Reported as Unknown,2019
40404,Clear,2019
40405,Reported as Unknown,2019
40406,Clear,2019
40407,Clear,2019
40408,Reported as Unknown,2019
40409,Clear,2019
40410,Not Reported,2019
40411,Cloudy,2019
40412,Clear,2019
40413,Clear,2019
40414,Clear,2019
40415,Clear,2019
40416,Clear,2019
40417,Clear,2019
40418,Clear,2019
40419,Clear,2019
40420,Clear,2019
40421,Clear,2019
